商品ID,賣家ID,商品名稱,商品連結,價格,星星趴數,歷史銷售量,商家地點
23447781389,125759304,【晶廚歐化廚具】 廚具 訂作廚具 訂做廚具 歐化廚具 系統廚具 系統櫃 系統衣櫃 廚房設計 系統櫃設計 (歡迎預約丈量),https://shopee.tw/【晶廚歐化廚具】-廚具-訂作廚具-訂做廚具-歐化廚具-系統廚具-系統櫃-系統衣櫃-廚房設計-系統櫃設計-(歡迎預約丈量)-i.125759304.23447781389?sp_atk=706c30a3-69c9-4bc8-8518-69d5e5a4f464&xptdk=706c30a3-69c9-4bc8-8518-69d5e5a4f464,499999.0,,60.0,新北市三重區
697473971,42079292,夯廚具 流理台工廠直營 人造石檯面+ST桶身+水晶門 全長232公分總價62600元 新北,https://shopee.tw/夯廚具-流理台工廠直營-人造石檯面-ST桶身-水晶門-全長232公分總價62600元-新北-i.42079292.697473971?sp_atk=1728086d-e137-421f-985c-b3093d49e221&xptdk=1728086d-e137-421f-985c-b3093d49e221,62600.0,,60.0,桃園市蘆竹區
703370814,42079292,夯廚具 流理台工廠直營裝潢裝修 人造石檯面+木心桶身+美耐板 全長240公分 總價48600元 基隆,https://shopee.tw/夯廚具-流理台工廠直營裝潢裝修-人造石檯面-木心桶身-美耐板-全長240公分-總價48600元-基隆-i.42079292.703370814?sp_atk=3d568a4e-356e-408d-b172-5a413c05204f&xptdk=3d568a4e-356e-408d-b172-5a413c05204f,48600.0,,60.0,桃園市蘆竹區
2283595951,81941924,全新【212三件組 100左水.72爐台.瓦斯桶台 B3流理台】新顏色.不銹鋼流理台/多色可選/置爐台工作平台/貨到付款,https://shopee.tw/全新【212三件組-100左水.72爐台.瓦斯桶台-B3流理台】新顏色.不銹鋼流理台-多色可選-置爐台工作平台-貨到付款-i.81941924.2283595951?sp_atk=d9518224-24eb-4f3b-904b-b6c676dc0e0a&xptdk=d9518224-24eb-4f3b-904b-b6c676dc0e0a,9100.0,4.73,16.0,
14493081593,582796108,~心果系統廚具~周年慶活動開跑啦!!!210cm石英石檯面優惠59xxx起~~~,https://shopee.tw/~心果系統廚具~周年慶活動開跑啦!!!210cm石英石檯面優惠59xxx起~~~-i.582796108.14493081593?sp_atk=f7f8604c-ce6b-4bd4-bdbb-478fe2191aa1&xptdk=f7f8604c-ce6b-4bd4-bdbb-478fe2191aa1,2000.0,,16.0,桃園市龜山區
13236770939,217691767,【臺灣免運】菱格紋廚房刀具組 不黏塗層刀具組 六件組廚具 刀具 菜刀組 廚房剪刀 廚具組 不沾鍋廚具 廚房用品 水果刀,https://shopee.tw/【臺灣免運】菱格紋廚房刀具組-不黏塗層刀具組-六件組廚具-刀具-菜刀組-廚房剪刀-廚具組-不沾鍋廚具-廚房用品-水果刀-i.217691767.13236770939?sp_atk=a3814bb9-adcb-476e-b14a-f969cc05ccf0&xptdk=a3814bb9-adcb-476e-b14a-f969cc05ccf0,389.0,4.89,277.0,新北市汐止區
13391628019,290738826,不鏽鋼刀具 切菜刀 切片刀 廚師刀 菜刀 刮刀 刨刀 廚具 刀具組 廚師刀具套裝 鋼刀六件組 不鏽鋼刀具套裝 廚房,https://shopee.tw/不鏽鋼刀具-切菜刀-切片刀-廚師刀-菜刀-刮刀-刨刀-廚具-刀具組-廚師刀具套裝-鋼刀六件組-不鏽鋼刀具套裝-廚房-i.290738826.13391628019?sp_atk=66595269-ff4c-4338-aa97-4858f787c417&xptdk=66595269-ff4c-4338-aa97-4858f787c417,265.0,4.91,125.0,高雄市仁武區
21442902487,180768847,台灣現貨 【24H出貨】 料理用具廚房廚具收納盒桶裝清新綠木柄矽膠廚具11件套不粘鍋鏟廚具套裝十一件套鍋鏟,https://shopee.tw/台灣現貨-【24H出貨】-料理用具廚房廚具收納盒桶裝清新綠木柄矽膠廚具11件套不粘鍋鏟廚具套裝十一件套鍋鏟-i.180768847.21442902487?sp_atk=be1c6c74-546c-48a4-84fe-b0878b05a4b7&xptdk=be1c6c74-546c-48a4-84fe-b0878b05a4b7,199.0,4.88,45.0,
20109340275,7529254,（現貨）韓國 locknlock 樂扣 樂扣 廚具7件組 多功能 廚具 鍋鏟 廚房工具 湯勺 3色可選 莫蘭迪色,https://shopee.tw/（現貨）韓國-locknlock-樂扣-樂扣-廚具7件組-多功能-廚具-鍋鏟-廚房工具-湯勺-3色可選-莫蘭迪色-i.7529254.20109340275?sp_atk=0c9730ba-e13d-43be-8054-42b953ab8877&xptdk=0c9730ba-e13d-43be-8054-42b953ab8877,999.0,5.0,24.0,新竹縣竹東鎮
10118938441,353171874,免運費 台灣現貨 小麥材質豪華七件套刀具組 時尚色系刀具組  亞馬遜熱銷 美型廚具 不鏽鋼刀具IG熱款 喬遷禮 交換禮物,https://shopee.tw/免運費-台灣現貨-小麥材質豪華七件套刀具組-時尚色系刀具組-亞馬遜熱銷-美型廚具-不鏽鋼刀具IG熱款-喬遷禮-交換禮物-i.353171874.10118938441?sp_atk=87c9f6b1-b089-49e2-86d9-2f2bbaec9b62&xptdk=87c9f6b1-b089-49e2-86d9-2f2bbaec9b62,239.5,4.94,1211.0,新北市板橋區
