商品ID,賣家ID,商品名稱,商品連結,價格,星星趴數,歷史銷售量,商家地點
16175663042,26797862,iNO 太空人垂直律動機【原廠公司貨】【物理治療師推薦】,https://shopee.tw/iNO-太空人垂直律動機【原廠公司貨】【物理治療師推薦】-i.26797862.16175663042?sp_atk=43082546-5f55-4338-920a-c8e25ae45ad7&xptdk=43082546-5f55-4338-920a-c8e25ae45ad7,13800.0,5.0,24.0,臺北市中山區
5215341560,215383446,適用 Blueair 201 203 205 270E 280i 290i 等 清淨機抗菌濾網  複合活性碳濾芯,https://shopee.tw/適用-Blueair-201-203-205-270E-280i-290i-等-清淨機抗菌濾網-複合活性碳濾芯-i.215383446.5215341560?sp_atk=52c57e4e-05ff-4c4a-9772-8086f797649c&xptdk=52c57e4e-05ff-4c4a-9772-8086f797649c,1099.0,4.95,743.0,新北市新店區
14227596553,5453670,怡悅 HEPA 濾心 濾網 適用 夏普 SHARP KC-JE70T KC-JE70T-N FZ-E70HFE,https://shopee.tw/怡悅-HEPA-濾心-濾網-適用-夏普-SHARP-KC-JE70T-KC-JE70T-N-FZ-E70HFE-i.5453670.14227596553?sp_atk=aa362a82-6cf0-40e8-8b8e-8328a058a375&xptdk=aa362a82-6cf0-40e8-8b8e-8328a058a375,940.0,4.89,55.0,南投縣南投市
22726467070,924997140,『方舟好貨🐳』桌上型三角暖手機｜單色｜電暖器 暖風機 暖氣機 暖氣 電暖爐 迷你暖風機 小暖氣 桌,https://shopee.tw/『方舟好貨🐳』桌上型三角暖手機｜單色｜電暖器-暖風機-暖氣機-暖氣-電暖爐-迷你暖風機-小暖氣-桌-i.924997140.22726467070?sp_atk=1b3ee407-9ce5-4b3d-ac89-05c8b3460c51&xptdk=1b3ee407-9ce5-4b3d-ac89-05c8b3460c51,699.0,,55.0,臺中市西屯區
7313474913,215383446,適用 COWAY AP 1516D 大孔劉 綠淨力立式 清淨機 抗菌HEPA濾芯 蜂巢顆粒活性碳濾網【兩年份】,https://shopee.tw/適用-COWAY-AP-1516D-大孔劉-綠淨力立式-清淨機-抗菌HEPA濾芯-蜂巢顆粒活性碳濾網【兩年份】-i.215383446.7313474913?sp_atk=a0c5db6c-bc8d-4f97-b481-3e81a910c58e&xptdk=a0c5db6c-bc8d-4f97-b481-3e81a910c58e,1175.0,4.93,616.0,新北市新店區
20048799637,8970109,現貨【日本SAKANO KEN 坂野健電器】陶瓷不沾 多功能快煮鍋(電煮鍋/美食鍋/調理鍋/電火鍋/蒸煮鍋/蒸煮兩用),https://shopee.tw/現貨【日本SAKANO-KEN-坂野健電器】陶瓷不沾-多功能快煮鍋(電煮鍋-美食鍋-調理鍋-電火鍋-蒸煮鍋-蒸煮兩用)-i.8970109.20048799637?sp_atk=59d80df8-b02d-4e75-9b80-e3b54fcc90d8&xptdk=59d80df8-b02d-4e75-9b80-e3b54fcc90d8,999.0,4.98,197.0,新北市汐止區
8869187543,454157984,【台灣電器】現貨 奇美 CHIMEI 20L 全自動轉盤微波爐 MV-20C2PK 20C2PK 微波爐 廚房電器 新春,https://shopee.tw/【台灣電器】現貨-奇美-CHIMEI-20L-全自動轉盤微波爐-MV-20C2PK-20C2PK-微波爐-廚房電器-新春-i.454157984.8869187543?sp_atk=68d6e476-6cef-4240-9c72-4282969a8f0a&xptdk=68d6e476-6cef-4240-9c72-4282969a8f0a,2119.0,4.92,107.0,
455233265,18910193,Kolin 歌林 多用途保溫盤 KCS-LN1015 【中部電器】,https://shopee.tw/Kolin-歌林-多用途保溫盤-KCS-LN1015-【中部電器】-i.18910193.455233265?sp_atk=07d86627-2ce1-4ee6-9b77-646706e57e78&xptdk=07d86627-2ce1-4ee6-9b77-646706e57e78,263.0,4.88,581.0,臺南市七股區
8540735811,98354748,省電王 智能省電設備 節電器 鋁合金外殼 節電設備 即插即用 +空氣淨化功能  2合1 贈送插頭轉換器,https://shopee.tw/省電王-智能省電設備-節電器-鋁合金外殼-節電設備-即插即用-空氣淨化功能-2合1-贈送插頭轉換器-i.98354748.8540735811?sp_atk=0d75655d-bdd0-490f-8dda-9efecc48dbd7&xptdk=0d75655d-bdd0-490f-8dda-9efecc48dbd7,359.0,4.81,60.0,中國大陸
20468632429,454157984,【台灣電器】特價 現貨 CHIMEI奇美 1.5L萬用玻璃燉煮壺 KT-15SGM0 泡茶 宿舍電器 租屋電器 冬天必備,https://shopee.tw/【台灣電器】特價-現貨-CHIMEI奇美-1.5L萬用玻璃燉煮壺-KT-15SGM0-泡茶-宿舍電器-租屋電器-冬天必備-i.454157984.20468632429?sp_atk=686a60de-63b7-4045-b515-58341df595d2&xptdk=686a60de-63b7-4045-b515-58341df595d2,1800.0,5.0,35.0,
